IFA,Moyle,BritNEd,EastWest,NEMO,IFA2,NorthSeaLink,datetime,Total Export (MW),Total Import (MW)
-1030.0,150.0,-516.0,12.0,-828.0,-1028.0,-1166.0,2022-08-01 00:30:00+00:00,-4568.0,162.0
-1030.0,202.0,-516.0,0.0,-828.0,-1030.0,-1164.0,2022-08-01 01:00:00+00:00,-4568.0,202.0
-1030.0,170.0,-568.0,0.0,-1018.0,-1030.0,-926.0,2022-08-01 01:30:00+00:00,-4572.0,170.0
-1032.0,180.0,-568.0,0.0,-1020.0,-1030.0,-908.0,2022-08-01 02:00:00+00:00,-4558.0,180.0
-1030.0,170.0,-200.0,0.0,-1020.0,-1030.0,-1074.0,2022-08-01 02:30:00+00:00,-4354.0,170.0
-1032.0,160.0,-200.0,0.0,-1020.0,-1030.0,-1092.0,2022-08-01 03:00:00+00:00,-4374.0,160.0
-1032.0,144.0,-608.0,0.0,-1020.0,-1030.0,-1038.0,2022-08-01 03:30:00+00:00,-4728.0,144.0
-1032.0,168.0,-608.0,0.0,-1020.0,-1030.0,-1022.0,2022-08-01 04:00:00+00:00,-4712.0,168.0
-1030.0,208.0,-566.0,16.0,-918.0,-1030.0,-906.0,2022-08-01 04:30:00+00:00,-4450.0,224.0
-1030.0,198.0,-566.0,148.0,-894.0,-1030.0,-856.0,2022-08-01 05:00:00+00:00,-4376.0,346.0
-1030.0,208.0,-338.0,300.0,-198.0,-1030.0,-470.0,2022-08-01 05:30:00+00:00,-3066.0,508.0
-1024.0,208.0,-310.0,372.0,-178.0,-1010.0,-394.0,2022-08-01 06:00:00+00:00,-2916.0,580.0
-850.0,208.0,494.0,336.0,-342.0,-574.0,-22.0,2022-08-01 06:30:00+00:00,-1788.0,1038.0
-844.0,168.0,560.0,334.0,-344.0,-556.0,62.0,2022-08-01 07:00:00+00:00,-1744.0,1124.0
-716.0,96.0,788.0,324.0,-286.0,-688.0,436.0,2022-08-01 07:30:00+00:00,-1690.0,1644.0
-710.0,86.0,812.0,334.0,-272.0,-696.0,482.0,2022-08-01 08:00:00+00:00,-1678.0,1714.0
-740.0,38.0,1002.0,288.0,238.0,-742.0,572.0,2022-08-01 08:30:00+00:00,-1482.0,2138.0
-748.0,38.0,1002.0,320.0,256.0,-748.0,552.0,2022-08-01 09:00:00+00:00,-1496.0,2168.0
-978.0,46.0,1002.0,180.0,662.0,-822.0,266.0,2022-08-01 09:30:00+00:00,-1800.0,2156.0
-984.0,48.0,986.0,126.0,668.0,-834.0,238.0,2022-08-01 10:00:00+00:00,-1818.0,2066.0
-1030.0,76.0,764.0,226.0,774.0,-1018.0,228.0,2022-08-01 10:30:00+00:00,-2048.0,2068.0
-1032.0,28.0,764.0,322.0,774.0,-1028.0,230.0,2022-08-01 11:00:00+00:00,-2060.0,2118.0
-1032.0,128.0,888.0,466.0,498.0,-1028.0,360.0,2022-08-01 11:30:00+00:00,-2060.0,2340.0
-1032.0,146.0,868.0,504.0,492.0,-1028.0,344.0,2022-08-01 12:00:00+00:00,-2060.0,2354.0
-1030.0,186.0,582.0,472.0,322.0,-1028.0,28.0,2022-08-01 12:30:00+00:00,-2058.0,1590.0
-1030.0,194.0,584.0,410.0,316.0,-1028.0,-40.0,2022-08-01 13:00:00+00:00,-2098.0,1504.0
-1030.0,206.0,730.0,500.0,-26.0,-1030.0,-396.0,2022-08-01 13:30:00+00:00,-2482.0,1436.0
-1030.0,206.0,732.0,504.0,-32.0,-1030.0,-476.0,2022-08-01 14:00:00+00:00,-2568.0,1442.0
-1030.0,206.0,464.0,504.0,-20.0,-1030.0,-846.0,2022-08-01 14:30:00+00:00,-2926.0,1174.0
-1030.0,208.0,450.0,504.0,-20.0,-1030.0,-872.0,2022-08-01 15:00:00+00:00,-2952.0,1162.0
-1030.0,208.0,-136.0,504.0,-330.0,-1030.0,-462.0,2022-08-01 15:30:00+00:00,-2988.0,712.0
-1030.0,208.0,-140.0,504.0,-334.0,-1030.0,-412.0,2022-08-01 16:00:00+00:00,-2946.0,712.0
-1030.0,208.0,100.0,504.0,-816.0,-1028.0,-40.0,2022-08-01 16:30:00+00:00,-2914.0,812.0
-1030.0,208.0,114.0,504.0,-824.0,-1028.0,-18.0,2022-08-01 17:00:00+00:00,-2900.0,826.0
-1030.0,208.0,-102.0,504.0,-640.0,-1028.0,-148.0,2022-08-01 17:30:00+00:00,-2948.0,712.0
-1030.0,208.0,-104.0,504.0,-640.0,-1028.0,-176.0,2022-08-01 18:00:00+00:00,-2978.0,712.0
-1030.0,208.0,100.0,504.0,-814.0,-1030.0,-576.0,2022-08-01 18:30:00+00:00,-3450.0,812.0
-1030.0,208.0,104.0,504.0,-816.0,-1030.0,-632.0,2022-08-01 19:00:00+00:00,-3508.0,816.0
-1030.0,208.0,-308.0,504.0,-788.0,-1028.0,-1042.0,2022-08-01 19:30:00+00:00,-4196.0,712.0
-1030.0,208.0,-330.0,504.0,-790.0,-1028.0,-1092.0,2022-08-01 20:00:00+00:00,-4270.0,712.0
-1030.0,208.0,-710.0,504.0,-712.0,-1028.0,-1224.0,2022-08-01 20:30:00+00:00,-4704.0,712.0
-1030.0,208.0,-710.0,498.0,-712.0,-1028.0,-1240.0,2022-08-01 21:00:00+00:00,-4720.0,706.0
-1030.0,208.0,-762.0,378.0,-1016.0,-1028.0,-1240.0,2022-08-01 21:30:00+00:00,-5076.0,586.0
-1030.0,208.0,-764.0,216.0,-1018.0,-1028.0,-1226.0,2022-08-01 22:00:00+00:00,-5066.0,424.0
-1030.0,208.0,-858.0,210.0,-816.0,-1030.0,-1094.0,2022-08-01 22:30:00+00:00,-4828.0,418.0
-1030.0,208.0,-864.0,362.0,-816.0,-1030.0,-1080.0,2022-08-01 23:00:00+00:00,-4820.0,570.0
-1030.0,208.0,-1014.0,466.0,-1020.0,-1030.0,-1080.0,2022-08-01 23:30:00+00:00,-5174.0,674.0
-606.0,124.0,-616.0,258.0,-614.0,-612.0,-216.0,2022-08-02 00:00:00+00:00,-2664.0,382.0
